generator,scatter,candidate,band,rows,served_baseline_mae,served_learned_mae,served_gain_m,served_gain_p5,served_gain_p95
regime-aware,proportional,period-op-sea-3m,Combined Sea >= 3 m,4473,0.5137,0.5079,0.0058,-0.0,0.011
regime-aware,proportional,swell-3m,Combined Sea >= 3 m,4473,0.5137,0.5179,-0.0042,-0.0097,0.0015
regime-aware,proportional,all-hours,Combined Sea >= 3 m,4473,0.5137,0.5086,0.0051,-0.0008,0.0104
regime-aware,proportional,combined-sea-3m,Combined Sea >= 3 m,4473,0.5137,0.5137,0.0001,-0.0061,0.0054
regime-aware,proportional,band-fitted,Combined Sea >= 3 m,4473,0.5137,0.506,0.0077,0.002,0.0127
regime-aware,proportional,regime-aware,Combined Sea >= 3 m,4473,0.5137,0.5132,0.0005,-0.0057,0.006
regime-aware,proportional,shipped,measured target under 2 m,15665,0.1415,0.177,-0.0355,-0.0362,-0.0348
regime-aware,proportional,period-sea-3m,measured target under 2 m,15665,0.1415,0.177,-0.0355,-0.0362,-0.0348
regime-aware,proportional,period-op-sea-3m,measured target under 2 m,15665,0.1415,0.1771,-0.0356,-0.0362,-0.0349
regime-aware,proportional,swell-3m,measured target under 2 m,15665,0.1415,0.2765,-0.135,-0.1364,-0.1336
regime-aware,proportional,all-hours,measured target under 2 m,15665,0.1415,0.178,-0.0365,-0.0372,-0.0358
regime-aware,proportional,combined-sea-3m,measured target under 2 m,15665,0.1415,0.1826,-0.0411,-0.0419,-0.0403
regime-aware,proportional,band-fitted,measured target under 2 m,15665,0.1415,0.1782,-0.0367,-0.0374,-0.036
regime-aware,proportional,regime-aware,measured target under 2 m,15665,0.1415,0.1768,-0.0353,-0.036,-0.0346
regime-aware,proportional,shipped,measured target 2-3 m,7511,0.2184,0.2443,-0.0258,-0.0274,-0.0242
regime-aware,proportional,period-sea-3m,measured target 2-3 m,7511,0.2184,0.2443,-0.0258,-0.0274,-0.0242
regime-aware,proportional,period-op-sea-3m,measured target 2-3 m,7511,0.2184,0.2442,-0.0257,-0.0273,-0.0241
regime-aware,proportional,swell-3m,measured target 2-3 m,7511,0.2184,0.2738,-0.0554,-0.057,-0.054
regime-aware,proportional,all-hours,measured target 2-3 m,7511,0.2184,0.2451,-0.0267,-0.0283,-0.025
regime-aware,proportional,combined-sea-3m,measured target 2-3 m,7511,0.2184,0.2446,-0.0262,-0.0276,-0.0247
regime-aware,proportional,band-fitted,measured target 2-3 m,7511,0.2184,0.2442,-0.0258,-0.0274,-0.0241
regime-aware,proportional,regime-aware,measured target 2-3 m,7511,0.2184,0.2414,-0.023,-0.0245,-0.0214
regime-aware,proportional,shipped,measured target 3-4 m,3383,0.3801,0.3795,0.0006,-0.0036,0.0054
regime-aware,proportional,period-sea-3m,measured target 3-4 m,3383,0.3801,0.3795,0.0006,-0.0036,0.0054
regime-aware,proportional,period-op-sea-3m,measured target 3-4 m,3383,0.3801,0.3795,0.0006,-0.0036,0.0054
regime-aware,proportional,swell-3m,measured target 3-4 m,3383,0.3801,0.4118,-0.0317,-0.0347,-0.0281
regime-aware,proportional,all-hours,measured target 3-4 m,3383,0.3801,0.3798,0.0003,-0.0041,0.005
regime-aware,proportional,combined-sea-3m,measured target 3-4 m,3383,0.3801,0.3887,-0.0086,-0.0126,-0.0039
regime-aware,proportional,band-fitted,measured target 3-4 m,3383,0.3801,0.3771,0.003,-0.0013,0.0077
regime-aware,proportional,regime-aware,measured target 3-4 m,3383,0.3801,0.3844,-0.0043,-0.0085,0.0006
regime-aware,proportional,shipped,measured target 4-5 m,1127,0.5477,0.493,0.0547,0.0424,0.0663
regime-aware,proportional,period-sea-3m,measured target 4-5 m,1127,0.5477,0.493,0.0547,0.0424,0.0663
regime-aware,proportional,period-op-sea-3m,measured target 4-5 m,1127,0.5477,0.493,0.0547,0.0424,0.0662
regime-aware,proportional,swell-3m,measured target 4-5 m,1127,0.5477,0.5318,0.016,0.0046,0.0263
regime-aware,proportional,all-hours,measured target 4-5 m,1127,0.5477,0.4929,0.0548,0.0424,0.0665
regime-aware,proportional,combined-sea-3m,measured target 4-5 m,1127,0.5477,0.5056,0.0421,0.0292,0.054
regime-aware,proportional,band-fitted,measured target 4-5 m,1127,0.5477,0.4902,0.0576,0.0455,0.0687
regime-aware,proportional,regime-aware,measured target 4-5 m,1127,0.5477,0.5039,0.0438,0.0305,0.0557
regime-aware,proportional,shipped,measured target 5-6 m,415,0.7725,0.6317,0.1409,0.1152,0.1647
regime-aware,proportional,period-sea-3m,measured target 5-6 m,415,0.7725,0.6317,0.1409,0.1152,0.1647
regime-aware,proportional,period-op-sea-3m,measured target 5-6 m,415,0.7725,0.6318,0.1407,0.1151,0.1646
regime-aware,proportional,swell-3m,measured target 5-6 m,415,0.7725,0.6733,0.0992,0.0707,0.126
regime-aware,proportional,all-hours,measured target 5-6 m,415,0.7725,0.6307,0.1418,0.1159,0.1661
regime-aware,proportional,combined-sea-3m,measured target 5-6 m,415,0.7725,0.642,0.1305,0.1029,0.157
regime-aware,proportional,band-fitted,measured target 5-6 m,415,0.7725,0.6303,0.1423,0.1173,0.1652
regime-aware,proportional,regime-aware,measured target 5-6 m,415,0.7725,0.6395,0.133,0.1052,0.1597
regime-aware,proportional,shipped,measured target 6 m and above,325,1.1262,0.872,0.2542,0.2168,0.2896
regime-aware,proportional,period-sea-3m,measured target 6 m and above,325,1.1262,0.872,0.2542,0.2168,0.2896
regime-aware,proportional,period-op-sea-3m,measured target 6 m and above,325,1.1262,0.8721,0.2541,0.2167,0.2895
regime-aware,proportional,swell-3m,measured target 6 m and above,325,1.1262,0.8858,0.2404,0.1943,0.2854
regime-aware,proportional,all-hours,measured target 6 m and above,325,1.1262,0.8703,0.2559,0.2185,0.2917
regime-aware,proportional,combined-sea-3m,measured target 6 m and above,325,1.1262,0.8692,0.257,0.2161,0.2975
